subject,group,spatial_frequency,high_contrast_beta,low_contrast_beta,percent_signal_change,raw_difference
125,patient,high,83.06582914748229,34.7651126721996,81.98307800882702,48.30071647528269
125,patient,low,47.795689224690875,24.866437588179245,63.111974951028635,22.92925163651163
126,patient,high,94.78425364190866,16.662334835781547,140.19616010366408,78.12191880612711
126,patient,low,52.34157605635385,20.4512078158031,87.61958684409852,31.89036824055075
127,patient,high,166.3955231413363,46.61519098129799,112.46413839172288,119.78033216003831
127,patient,low,60.804450236533086,29.91100739979913,68.11064760447375,30.893442836733957
128,patient,high,321.2435200334972,101.9448574299576,103.6411557037516,219.29866260353958
128,patient,low,176.59121236111517,189.91807076506012,-7.2723169739507085,-13.326858403944954
129,patient,high,197.7737352376724,73.00855498229745,92.15165449263468,124.76518025537496
129,patient,low,28.36576464561846,31.149794783133338,-9.355637968413086,-2.784030137514879
130,patient,high,288.61141752540846,76.08879709102034,116.5464740172459,212.5226204343881
130,patient,low,149.5667912291252,86.86939806688665,53.03536091401225,62.69739316223854
131,control,high,169.63199876152197,43.377801581721116,118.54308766672273,126.25419717980085
131,control,low,78.45435769311767,40.75739239860888,63.24370754645101,37.69696529450879
201,control,high,301.47901132969366,111.31428345176886,92.13557016646803,190.1647278779248
201,control,low,123.54306701889872,66.90873214700434,59.47366747904551,56.63433487189438
202,control,high,147.7905815887287,71.56205399280226,69.5031791105087,76.22852759592645
202,control,low,107.13984140190723,43.55498740031822,84.38889974789898,63.584854001589015
204,control,high,190.80735321161262,73.70977483948359,88.53685901920842,117.09757837212904
204,control,low,79.97309666017517,48.645912542967054,48.71314794180949,31.32718411720812
205,control,high,336.061841942763,138.44341457999525,83.29451555961407,197.61842736276776
205,control,low,86.63467921502274,108.6705937305074,-22.565611448320077,-22.035914515484663
206,control,high,128.30259831920836,93.97248155295283,30.889757669640765,34.33011676625553
206,control,low,43.893025309419606,54.890516351261944,-22.265836711176814,-10.997491041842338
207,control,high,134.32683526946863,93.26073408839258,36.08817590252767,41.06610118107605
207,control,low,63.28888017307069,32.04918551371958,65.53456782305912,31.23969465935111
208,control,high,247.2136133674853,88.10056658171396,94.90385811293592,159.11304678577133
208,control,low,116.4392180940245,59.76330339983166,64.3304241207116,56.675914694192834
209,control,high,186.47101657206886,70.64535241752294,90.0959084088766,115.82566415454592
209,control,low,72.13331016231467,87.2811605251615,-19.004360516986445,-15.147850362846825
210,control,high,238.22364501535594,74.65979859370697,104.55257365807849,163.56384642164898
210,control,low,66.39856819251405,36.4991193059121,58.11490931136672,29.899448886601945
211,control,high,184.360630645918,78.49970832964702,80.5453745733103,105.86092231627099
211,control,low,76.3814158041823,67.49124124473992,12.358393515203337,8.890174559442372
212,control,high,126.62512747891665,46.77888183192156,92.09273299311714,79.8462456469951
212,control,low,31.972134608180905,45.5107348948086,-34.94604774828412,-13.538600286627695
213,control,high,280.86795360243246,116.2451507433566,82.90978114674826,164.62280285907588
213,control,low,117.14759694559805,51.17050804810046,78.3957125705136,65.9770888974976
214,control,high,222.3217570547105,70.26039313208523,103.94438883270456,152.06136392262528
214,control,low,76.4756913702369,37.01516041283034,69.53958021715023,39.46053095740656
215,control,high,185.342056025273,57.33077759189026,105.50111977950631,128.01127843338273
215,control,low,90.14214981892655,54.01997772491203,50.113261658170316,36.12217209401452
217,control,high,200.6859180360376,44.09301566274901,127.9463882018413,156.5929023732886
217,control,low,50.93396870694635,28.42833171462268,56.71619112040535,22.505636992323673
218,control,high,149.95560669059108,53.50223854364329,94.81410563048497,96.4533681469478
218,control,low,94.429344411773,38.8661162170346,83.36852272781773,55.5632281947384
