Block,Trial,Condition,Oddball,Reaction Time (s),Stimulus Onset (s),Stimulus Offset (s)
7,7,Condition 4,False,,137.1052662750003,137.50817395500007
7,8,Condition 4,False,,137.7175353030002,138.11923903800016
7,9,Condition 4,True,138.69847270200034,138.3279235050004,138.72956524600022
7,10,Condition 4,False,,138.93698603500025,139.3387825020004
7,11,Condition 4,False,,139.54768810500036,139.94967811000015
7,12,Condition 4,False,,140.15782689800017,140.56046224600004
7,13,Condition 4,False,,140.76926810000032,141.17107731900023
7,14,Condition 4,False,,141.37931786900026,141.78168567500006
7,15,Condition 4,False,,141.9903939110004,142.3921033890001
7,16,Condition 4,False,,142.6004062640004,143.00204692900024
7,17,Condition 4,False,,143.21116809000023,143.61286413200014
7,18,Condition 4,True,144.2182502630003,143.8200631980003,144.22178636800027
7,19,Condition 4,False,,144.4335798660004,144.83528059900027
7,20,Condition 4,True,145.43573118500035,145.0430238160002,145.44694981400016
8,1,Condition 2,False,,155.6589661070002,156.06428851400005
8,2,Condition 2,False,,156.2721783840002,156.6734157210003
8,3,Condition 2,False,,156.88223218500025,157.28409178600032
8,4,Condition 2,False,,157.49200870000004,157.8974048350001
8,5,Condition 2,False,,158.1058278200003,158.50781277900023
8,6,Condition 2,False,,158.717350033,159.1191208340001
8,7,Condition 2,False,,159.32784908500025,159.7307485790002
8,8,Condition 2,False,,159.93855471900042,160.34037838800032
8,9,Condition 2,False,,160.55234006400042,160.95406529900038
8,10,Condition 2,False,,161.16219944000022,161.56399913700034
8,11,Condition 2,False,,161.77265964700018,162.17507964900005
8,12,Condition 2,False,,162.3828321220003,162.78438788200037
8,13,Condition 2,False,,162.99341643200023,163.3973744140003
8,14,Condition 2,False,,163.6050788990001,164.00653702900036
8,15,Condition 2,False,,164.21709735900004,164.61886552500027
8,16,Condition 2,True,165.277466043,164.8274114730002,165.22921071300016
8,17,Condition 2,False,,165.43839740300018,165.840251653
8,18,Condition 2,False,,166.04943573200035,166.45126719200016
8,19,Condition 2,False,,166.6600171920004,167.06529866300025
8,20,Condition 2,False,,167.27289966100034,167.67422378500032
9,1,Condition 1,False,,177.88730656100006,178.2891251670003
9,2,Condition 1,False,,178.499386253,178.90121757600036
9,3,Condition 1,False,,179.11214366800004,179.51408071000014
9,4,Condition 1,False,,179.72164426000018,180.1241802960003
9,5,Condition 1,False,,180.333026109,180.73475203700036
9,6,Condition 1,False,,180.94229605500004,181.34493048900003
